149,4358,2.01408E+13
860,10494,2.01408E+13
2121,8463,2.01408E+13
2154,3452,2.01408E+13
2774,8872,2.01408E+13
3107,66,2.01408E+13
3251,553,2.01408E+13
3553,4947,2.01408E+13
3793,4340,2.01408E+13
3819,9069,2.01408E+13
3957,10494,2.01408E+13
4767,520,2.01408E+13
5303,10387,2.01408E+13
5906,1930,2.01408E+13
7106,4851,2.01408E+13
7399,6662,2.01408E+13
7992,7149,2.01408E+13
7998,9119,2.01408E+13
8411,1910,2.01408E+13
8609,61,2.01408E+13
8685,6662,2.01408E+13
8977,6270,2.01408E+13
9063,9241,2.01408E+13
9236,10490,2.01408E+13
9584,4753,2.01408E+13
9927,549,2.01408E+13
150,5654,2.01408E+13
434,9151,2.01408E+13
721,9095,2.01408E+13
766,8066,2.01408E+13
991,6270,2.01408E+13
2038,5264,2.01408E+13
2377,4882,2.01408E+13
3147,3127,2.01408E+13
4990,9151,2.01408E+13
5284,9151,2.01408E+13
6125,549,2.01408E+13
6703,9163,2.01408E+13
6826,9194,2.01408E+13
7697,7399,2.01408E+13
8458,9072,2.01408E+13
8525,7275,2.01408E+13
8637,9147,2.01408E+13
8689,26,2.01408E+13
8746,5405,2.01408E+13
8826,8066,2.01408E+13
9763,5331,2.01408E+13
9913,3864,2.01408E+13
60,9120,2.01408E+13
906,3028,2.01408E+13
1034,9103,2.01408E+13
1514,5736,2.01408E+13
1870,5034,2.01408E+13
2202,9176,2.01408E+13
2231,3787,2.01408E+13
2939,5331,2.01408E+13
2971,4631,2.01408E+13
3353,664,2.01408E+13
3424,9,2.01408E+13
4139,10534,2.01408E+13
5256,11180,2.01408E+13
5503,3864,2.01408E+13
5599,5736,2.01408E+13
5885,3883,2.01408E+13
6008,9596,2.01408E+13
6228,11759,2.01408E+13
6715,10494,2.01408E+13
7096,10759,2.01408E+13
7883,8860,2.01408E+13
8180,4631,2.01408E+13
8213,9170,2.01408E+13
8403,9151,2.01408E+13
8557,520,2.01408E+13
8751,936,2.01408E+13
9143,9089,2.01408E+13
9941,9069,2.01408E+13
1988,5175,2.01408E+13
2468,9219,2.01408E+13
2841,4856,2.01408E+13
3123,8697,2.01408E+13
3796,26,2.01408E+13
4553,3836,2.01408E+13
4829,6270,2.01408E+13
5809,9170,2.01408E+13
5830,3,2.01408E+13
5928,9241,2.01408E+13
6466,7310,2.01408E+13
6584,9096,2.01408E+13
7887,8972,2.01408E+13
